=== exp004: Stage 2 Conditional Diffusion (first diffusion training) ===
Start time: Tue Mar 24 14:59:39     2026
Changes:
  - First Stage 2 training: conditional DDPM with 1D U-Net denoiser
  - Frozen encoder from exp003
  - batch=16, lr=2e-4, epochs=200, ema_decay=0.9999, T=1000
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp004",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.9999,
    "n_diffusion_steps": 1000
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp004\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Amp log stats: mean=-4.8466, std=1.2020
Epoch 117/200  train=0.097512  test=0.107941
Epoch 118/200  train=0.086551  test=0.139079
Epoch 119/200  train=0.090212  test=0.117739
Epoch 120/200  train=0.090683  test=0.069288
Epoch 121/200  train=0.085495  test=0.084561
Epoch 122/200  train=0.066439  test=0.093659
Epoch 123/200  train=0.063902  test=0.123376
Epoch 124/200  train=0.095281  test=0.107821
Epoch 125/200  train=0.076263  test=0.078613
Epoch 126/200  train=0.071396  test=0.084613
Epoch 127/200  train=0.097247  test=0.106174
Epoch 128/200  train=0.110697  test=0.081814
Epoch 129/200  train=0.076317  test=0.036408
Epoch 130/200  train=0.066834  test=0.095455
Epoch 131/200  train=0.102160  test=0.066003
Epoch 132/200  train=0.069086  test=0.129891
Epoch 133/200  train=0.087496  test=0.141533
Epoch 134/200  train=0.106768  test=0.088534
Epoch 135/200  train=0.101761  test=0.073058
Epoch 136/200  train=0.091134  test=0.107439
Epoch 137/200  train=0.097070  test=0.126626
Epoch 138/200  train=0.064219  test=0.079323
Epoch 139/200  train=0.081587  test=0.171799
Epoch 140/200  train=0.081156  test=0.055794
Epoch 141/200  train=0.059884  test=0.126308
Epoch 142/200  train=0.092679  test=0.136402
Epoch 143/200  train=0.067795  test=0.125743
Epoch 144/200  train=0.101802  test=0.061808
Epoch 145/200  train=0.097766  test=0.058327
Epoch 146/200  train=0.106792  test=0.115048
Epoch 147/200  train=0.081422  test=0.054587
Epoch 148/200  train=0.085870  test=0.082335
Epoch 149/200  train=0.083851  test=0.046134
Epoch 150/200  train=0.088929  test=0.071334
Epoch 151/200  train=0.092298  test=0.043178
Epoch 152/200  train=0.102145  test=0.105806
Epoch 153/200  train=0.068200  test=0.129618
Epoch 154/200  train=0.102714  test=0.121758
Epoch 155/200  train=0.089000  test=0.060723
Epoch 156/200  train=0.091727  test=0.095288
Epoch 157/200  train=0.095219  test=0.089995
Epoch 158/200  train=0.097407  test=0.079820
Epoch 159/200  train=0.067869  test=0.085653
Epoch 160/200  train=0.087397  test=0.077542
Epoch 161/200  train=0.058934  test=0.095159
Epoch 162/200  train=0.067181  test=0.096362
Epoch 163/200  train=0.082090  test=0.095334
Epoch 164/200  train=0.067476  test=0.175894
Epoch 165/200  train=0.056658  test=0.082936
Epoch 166/200  train=0.078107  test=0.082506
Epoch 167/200  train=0.095137  test=0.058846
Epoch 168/200  train=0.095834  test=0.078431
Epoch 169/200  train=0.074929  test=0.063783
Epoch 170/200  train=0.078694  test=0.084372
Epoch 171/200  train=0.079684  test=0.125733
Epoch 172/200  train=0.066177  test=0.074524
Epoch 173/200  train=0.073719  test=0.083320
Epoch 174/200  train=0.075531  test=0.153338
Epoch 175/200  train=0.063900  test=0.092525
Epoch 176/200  train=0.059130  test=0.123582
Epoch 177/200  train=0.084982  test=0.094104
Epoch 178/200  train=0.068529  test=0.169834
Epoch 179/200  train=0.061793  test=0.084932
Epoch 180/200  train=0.078555  test=0.088624
